,y,ds
0,2926.0,2018-01-01
1,2687.531,2018-01-02
2,2793.0,2018-01-03
3,2394.0,2018-01-04
4,2660.0,2018-01-05
5,2527.0,2018-01-06
6,2527.0,2018-01-07
7,2793.0,2018-01-08
8,2793.0,2018-01-09
9,2793.0,2018-01-10
10,2926.0,2018-01-11
11,2793.0,2018-01-12
12,2869.8208,2018-01-13
13,3325.0,2018-01-14
14,2261.0,2018-01-15
15,2261.0,2018-01-16
16,2253.685,2018-01-17
17,2394.0,2018-01-18
18,2394.0,2018-01-19
19,2394.0,2018-01-20
20,2527.0,2018-01-21
21,2793.0,2018-01-22
22,2660.0,2018-01-23
23,2547.1362,2018-01-24
24,2926.0,2018-01-25
25,2926.0,2018-01-26
26,3059.0,2018-01-27
27,2853.1027,2018-01-28
28,2793.0,2018-01-29
29,2793.0,2018-01-30
30,2816.4745,2018-01-31
31,2231.1548,2018-02-01
32,5212.004,2018-02-02
33,5032.853,2018-02-03
34,2253.685,2018-02-04
35,2261.0,2018-02-05
36,2261.0,2018-02-06
37,2253.685,2018-02-07
38,2253.685,2018-02-08
39,2394.0,2018-02-09
40,2527.0,2018-02-10
41,2380.1148,2018-02-11
42,2660.0,2018-02-12
43,2380.1148,2018-02-13
44,2793.0,2018-02-14
45,3059.0,2018-02-15
46,3040.0076,2018-02-16
47,2926.0,2018-02-17
48,2926.0,2018-02-18
49,2660.0,2018-02-19
50,2793.0,2018-02-20
51,2510.7208,2018-02-21
52,5105.0587,2018-02-22
53,3667.6346,2018-02-23
54,2300.0488,2018-02-24
55,2775.3642,2018-02-25
56,2582.062,2018-02-26
57,2527.0,2018-02-27
58,2394.0,2018-02-28
59,2793.0,2018-03-01
60,2793.0,2018-03-02
61,2793.0,2018-03-03
62,3021.0152,2018-03-04
63,4752.09,2018-03-05
64,2082.514,2018-03-06
65,2042.8135,2018-03-07
66,2201.6022,2018-03-08
67,2246.0774,2018-03-09
68,2171.757,2018-03-10
69,2042.8135,2018-03-11
70,2261.0,2018-03-12
71,2231.1548,2018-03-13
72,2386.3525,2018-03-14
73,2394.0,2018-03-15
74,2394.0,2018-03-16
75,2527.0,2018-03-17
76,2527.0,2018-03-18
77,2660.0,2018-03-19
78,2660.0,2018-03-20
79,5042.961,2018-03-21
80,2176.5051,2018-03-22
81,2331.9023,2018-03-23
82,2527.0,2018-03-24
83,2261.0,2018-03-25
84,2519.02,2018-03-26
85,4927.5968,2018-03-27
86,2784.355,2018-03-28
87,2394.0,2018-03-29
88,2527.0,2018-03-30
89,2527.0,2018-03-31
90,2331.9023,2018-04-01
91,2527.0,2018-04-02
92,2378.3991,2018-04-03
93,2142.2044,2018-04-04
94,2201.6022,2018-04-05
95,2231.1548,2018-04-06
96,2253.685,2018-04-07
97,2261.0,2018-04-08
98,2261.0,2018-04-09
99,2238.7624,2018-04-10
100,2261.0,2018-04-11
101,2394.0,2018-04-12
102,2261.0,2018-04-13
103,2253.685,2018-04-14
104,2394.0,2018-04-15
105,2261.0,2018-04-16
106,2261.0,2018-04-17
107,5204.7023,2018-04-18
108,2128.0,2018-04-19
109,2171.757,2018-04-20
110,2128.0,2018-04-21
111,2128.0,2018-04-22
112,2128.0,2018-04-23
113,2128.0,2018-04-24
114,2128.0,2018-04-25
115,2261.0,2018-04-26
116,2261.0,2018-04-27
117,5187.0,2018-04-28
118,5187.0,2018-04-29
119,5187.0,2018-04-30
120,5306.434,2018-05-01
121,2121.0175,2018-05-02
122,5320.0,2018-05-03
123,2128.0,2018-05-04
124,2128.0,2018-05-05
125,5320.0,2018-05-06
126,5110.658,2018-05-07
127,5238.87,2018-05-08
128,2261.0,2018-05-09
129,5187.0,2018-05-10
130,5054.0,2018-05-11
131,4921.0,2018-05-12
132,4788.0,2018-05-13
133,4921.0,2018-05-14
134,4921.0,2018-05-15
135,4921.0,2018-05-16
136,4921.0,2018-05-17
137,5054.0,2018-05-18
138,4921.0,2018-05-19
139,5054.0,2018-05-20
140,4788.0,2018-05-21
141,4788.0,2018-05-22
142,4921.0,2018-05-23
143,5054.0,2018-05-24
144,5054.0,2018-05-25
145,5054.0,2018-05-26
146,5005.4018,2018-05-27
147,4783.079,2018-05-28
148,5054.0,2018-05-29
149,5048.015,2018-05-30
150,4522.0,2018-05-31
151,4522.0,2018-06-01
152,4522.0,2018-06-02
153,4921.0,2018-06-03
154,4788.0,2018-06-04
155,4788.0,2018-06-05
156,4788.0,2018-06-06
157,4743.0593,2018-06-07
158,4897.9378,2018-06-08
159,5054.0,2018-06-09
160,4915.3475,2018-06-10
161,4788.0,2018-06-11
162,4522.0,2018-06-12
163,4921.0,2018-06-13
164,5054.0,2018-06-14
165,4921.0,2018-06-15
166,4522.0,2018-06-16
167,4522.0,2018-06-17
168,4389.0,2018-06-18
169,4389.0,2018-06-19
170,4380.1821,2018-06-20
171,4517.345,2018-06-21
172,4788.0,2018-06-22
173,4522.0,2018-06-23
174,4522.0,2018-06-24
175,4788.0,2018-06-25
176,4909.4689,2018-06-26
177,4723.096,2018-06-27
178,4921.0,2018-06-28
179,4389.0,2018-06-29
180,4788.0,2018-06-30
181,5048.015,2018-07-01
182,5048.015,2018-07-02
183,4921.0,2018-07-03
184,5054.0,2018-07-04
185,4980.983,2018-07-05
186,5266.002,2018-07-06
187,5705.7,2018-07-07
188,4974.2,2018-07-08
189,4681.6,2018-07-09
190,4974.2,2018-07-10
191,4512.5038,2018-07-11
192,4915.3475,2018-07-12
193,4522.0,2018-07-13
194,4256.0,2018-07-14
195,4256.0,2018-07-15
196,4522.0,2018-07-16
197,4389.0,2018-07-17
198,4384.6775,2018-07-18
199,4256.0,2018-07-19
200,4788.0,2018-07-20
201,4256.0,2018-07-21
202,4389.0,2018-07-22
203,4522.0,2018-07-23
204,4522.0,2018-07-24
205,4655.0,2018-07-25
206,5187.0,2018-07-26
207,4788.0,2018-07-27
208,4921.0,2018-07-28
209,4875.1017,2018-07-29
210,5048.015,2018-07-30
211,4522.0,2018-07-31
212,5047.35,2018-08-01
213,4522.0,2018-08-02
214,4788.0,2018-08-03
215,4921.0,2018-08-04
216,4788.0,2018-08-05
217,5054.0,2018-08-06
218,4921.0,2018-08-07
219,4389.0,2018-08-08
220,4389.0,2018-08-09
221,4522.0,2018-08-10
222,4921.0,2018-08-11
223,5054.0,2018-08-12
