,ds,trend,yhat_lower,yhat_upper,trend_lower,trend_upper,additive_terms,additive_terms_lower,additive_terms_upper,daily,daily_lower,daily_upper,weekly,weekly_lower,weekly_upper,yearly,yearly_lower,yearly_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,yhat
0,2018-01-01,3040.168654357667,687.875808546326,3938.8791844503817,3040.168654357667,3040.168654357667,-646.907682043201,-646.907682043201,-646.907682043201,462.59191623570547,462.59191623570547,462.59191623570547,16.646724382775254,16.646724382775254,16.646724382775254,-1126.1463226616818,-1126.1463226616818,-1126.1463226616818,0.0,0.0,0.0,2393.260972314466
1,2018-01-02,3040.968887681263,717.6369765567298,4064.5309476193506,3040.968887681263,3040.968887681263,-656.878774658858,-656.878774658858,-656.878774658858,462.59191623570547,462.59191623570547,462.59191623570547,-11.260909337714374,-11.260909337714374,-11.260909337714374,-1108.209781556849,-1108.209781556849,-1108.209781556849,0.0,0.0,0.0,2384.0901130224047
2,2018-01-03,3041.769121004859,801.9074819205703,4007.754687817544,3041.769121004859,3041.769121004859,-630.8918734423356,-630.8918734423356,-630.8918734423356,462.59191623570547,462.59191623570547,462.59191623570547,-4.393592010147326,-4.393592010147326,-4.393592010147326,-1089.0901976678938,-1089.0901976678938,-1089.0901976678938,0.0,0.0,0.0,2410.8772475625233
3,2018-01-04,3042.5693543284547,901.5136534056604,4061.7687228857194,3042.5693543284547,3042.5693543284547,-583.8057412482046,-583.8057412482046,-583.8057412482046,462.59191623570547,462.59191623570547,462.59191623570547,22.468361364192656,22.468361364192656,22.468361364192656,-1068.8660188481028,-1068.8660188481028,-1068.8660188481028,0.0,0.0,0.0,2458.7636130802503
4,2018-01-05,3043.3695876520505,804.523033279922,4026.5460906569424,3043.3695876520505,3043.3695876520505,-619.6714504572739,-619.6714504572739,-619.6714504572739,462.59191623570547,462.59191623570547,462.59191623570547,-34.59503457636402,-34.59503457636402,-34.59503457636402,-1047.6683321166151,-1047.6683321166151,-1047.6683321166151,0.0,0.0,0.0,2423.698137194777
5,2018-01-06,3044.1698209756464,1004.6505966742066,4002.3912882603345,3044.1698209756464,3044.1698209756464,-577.1118511435234,-577.1118511435234,-577.1118511435234,462.59191623570547,462.59191623570547,462.59191623570547,-14.026900617660615,-14.026900617660615,-14.026900617660615,-1025.6768667615681,-1025.6768667615681,-1025.6768667615681,0.0,0.0,0.0,2467.057969832123
6,2018-01-07,3044.970054299242,908.5338271740378,4161.79042250754,3044.970054299242,3044.970054299242,-515.360998809385,-515.360998809385,-515.360998809385,462.59191623570547,462.59191623570547,462.59191623570547,25.16135079475933,25.16135079475933,25.16135079475933,-1003.1142658398497,-1003.1142658398497,-1003.1142658398497,0.0,0.0,0.0,2529.609055489857
7,2018-01-08,3045.770287622838,1057.6077671853088,4092.46810386028,3045.770287622838,3045.770287622838,-501.00018873993685,-501.00018873993685,-501.00018873993685,462.59191623570547,462.59191623570547,462.59191623570547,16.646724382746758,16.646724382746758,16.646724382746758,-980.238829358389,-980.238829358389,-980.238829358389,0.0,0.0,0.0,2544.7700988829015
8,2018-01-09,3046.5705209464336,896.319591188817,4066.2023008422216,3046.5705209464336,3046.5705209464336,-506.00497534966195,-506.00497534966195,-506.00497534966195,462.59191623570547,462.59191623570547,462.59191623570547,-11.260909337764362,-11.260909337764362,-11.260909337764362,-957.335982247603,-957.335982247603,-957.335982247603,0.0,0.0,0.0,2540.5655455967717
9,2018-01-10,3047.3707542700295,1067.3462847187175,4095.265272822719,3047.3707542700295,3047.3707542700295,-476.51043751669266,-476.51043751669266,-476.51043751669266,462.59191623570547,462.59191623570547,462.59191623570547,-4.393592010130419,-4.393592010130419,-4.393592010130419,-934.7087617422677,-934.7087617422677,-934.7087617422677,0.0,0.0,0.0,2570.860316753337
